"Agrupacion","Total Votos"
"+ VALORES",4670
"AVANZA LIBERTAD",46952
"CELESTE PROVIDA",1705
"CONSERVADOR POPULAR",3516
"CORRIENTE DE PENSAMIENTO BONAERENSE",1476
"ESPERANZA DEL PUEBLO",493
"FEDERAL",6368
"FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD",66628
"FRENTE DE TODOS",356391
"FRENTE PATRIOTA",4148
"FRENTE UNION POR EL FUTURO",3206
"FRENTE VAMOS CON VOS",46312
"HUMANISTA",2297
"JUNTOS",486522
"JUSTICIA Y DIGNIDAD PATRIOTICA",219
"LABORISTA",245
"MORAL Y PROGRESO",399
"MOVIMIENTO AL SOCIALISMO",13288
"MOVIMIENTO ORGANIZACION DEMOCRATICA",1816
"POLITICA OBRERA",981
"POPULAR",1273
"PROYECTO JUSTO, SOCIAL Y HUMANISTA",1044
"RENOVADOR FEDERAL",2426
"REPUBLICANO FEDERAL",8110
"TODOS POR BUENOS AIRES",3522
"UNIDAD SOCIAL",315
"UNION CELESTE Y BLANCO",10110
"UNION POR TODOS",6690
"VERDE",1642
"VOCACION SOCIAL",9006
NULL,60689
